Country,Authority,Date,Issued Fine?,Fine,Controller,QuotedArt,Type,Summary,Info
BULGARIA,Bulgarian Commission for Personal Data Protection (KZLD),1/17/19,Yes,500,Bank,"Art. 6 GDPR, Art. 5 (1) a) GDPR",Insufficient legal basis for data processing,A bank gained personal data concernign a student wihtout a legal basis.,https://www.cpdp.bg/?p=element&aid=1195
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),1/10/19,Yes,388,Employer,Art. 6 GDPR,Insufficient legal basis for data processing,A former employee of a company requested the deletion of information relating to him/her which was published on the Facebook website of the employer and which was still available long after the termination of the employment relationship. The fine was imposed because the employer did not delete the information relating to the former employee.,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34464
GERMANY,Data Protection Authority of Saarland,12/31/19,Yes,2000,Restaurant,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,Video surveillance cameras have been used in violation of principle of data minimisation (monitoring also of customer areas in restaurants).,https://www.datenschutz.saarland.de/fileadmin/user_upload/uds/tberichte/tb28_2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),12/31/19,Yes,3600,"AMADOR RECREATIVOS, S.L",Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,Surveillance of the public space by video surveillance cameras against violation of the principles of data minimisation.,https://www.aepd.es/resoluciones/PS-00135-2019_ORI.pdf
SPAIN,Spanish Data Protection Authority (aepd),12/31/19,Yes,21000,"Vodafone España, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,"Vodafone had processed personal data of the claimant (bank details, name, surname and national identification number) years after the contractual relationsid had ended. The fine of EUR 35.000 was reduced to EUR 21.000.",https://www.aepd.es/resoluciones/PS-00087-2019_ORI.pdf
SPAIN,Spanish Data Protection Authority (aepd),12/31/19,Yes,48000,"TELEFONICA MOVILES ESPAÑA, S.A.U.",Art. 5 (1) a) GDPR,Non-compliance with general data processing principles,"The claimant's bank account was charged by the company with two invoices for the services he had contracted, however, displaying personal data of another customer. The initial fine of EUR 60.000 was reduced to EUR 48.000.",https://www.aepd.es/resoluciones/PS-00173-2019_ORI.pdf
SPAIN,Spanish Data Protection Authority (aepd),12/31/19,Yes,30000,"Vodafone España, S.A.U.","Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,Disclosure of customer personal data (i.a. purchase history) via an SMS to another customer. The initial fine of EUR 50.000 was reduced to EUR 30.000.,https://www.aepd.es/resoluciones/PS-00205-2019_ORI.pdf
SPAIN,Spanish Data Protection Authority (aepd),12/31/19,Yes,40000,"Vodafone España, S.A.U.",Art. 6 GDPR,Insufficient legal basis for data processing,"The company had charged a Netflix service that had not been solicited by the claimant. The claimant could prove that the service had been used by another household which allegedly had received the claimant's bank account and phone number from Vodafone. Since Vodafone could not prove that the claimant had consented to the conclusion of the contract concerning the Netflix services, the AEPD imposed a fine of EUR 40.000.",https://www.aepd.es/resoluciones/PS-00064-2019_ORI.pdf
SPAIN,Spanish Data Protection Authority (aepd),12/31/19,Yes,20000,individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,"Video surveillance cameras have not only been used to protect property, but have also monitored employees (violation of principle of data minimisation).",https://www.aepd.es/resoluciones/PS-00150-2019_ORI.pdf
SPAIN,Spanish Data Protection Authority (aepd),12/31/19,Yes,9000,individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,"Video surveillance cameras have not only been used to protect property, but have also monitored employees (violation of principle of data minimisation).",https://www.aepd.es/resoluciones/PS-00050-2019_ORI.pdf
GERMANY,Data Protection Authority of Brandenburg,12/31/19,Yes,50000,Unknown Company,"Art. 15 GDPR, Art. 28 GDPR",Insufficient fulfilment of data subjects rights,"The data controller had engaged an external company to carry out the duties of access to data according to Art. 15 GDPR. However, the engaged company conducted the correspondence with the data subjects under its own logo and in English language, so that it was not apparent to the data subjects who was responsible for the data processing. As a result, the data controller infringed the principle of transparency laid down in Art. 12 GDPR and did not sufficiently fulfil its obligations to provide information in accordance with Art. 15 GDPR. In addition, the data protection supervisory authority found that no written contract for data processing had been concluded between the data controller and the external company, thus constituting a further breach of Art. 28 (9) GDPR.",https://www.lda.brandenburg.de/media_fast/4055/TB_2019_Datenschutz.pdf
SPAIN,Spanish Data Protection Authority (aepd),12/31/19,Yes,36000,"VODAFONE ONO, S.A.U.",Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,The company sent a marketing email to a large number of recipients (clients) without using the blind copy feature. The initial fine of EUR 60.000 was reduced to EUR 36.000.,https://www.aepd.es/resoluciones/PS-00092-2019_ORI.pdf
GERMANY,Data Protection Authority of Mecklenburg-Vorpommern,12/31/19,Yes,800,Police Officer,Art. 6 GDPR,Insufficient legal basis for data processing,A police officer used a witness's personal data to contact her personally.,https://www.faz.net/aktuell/gesellschaft/kriminalitaet/polizisten-nutzten-daten-um-minderjaehrige-maedchen-zu-kontaktieren-16227841.html
GERMANY,Data Protection Authority of Niedersachsen,12/31/19,Yes,294000,Unknown,Art. 5 GDPR,Non-compliance with general data processing principles,"A company was fined EUR 294 000 for 'unnecessarily long' storage and retention of personnel files and for 'excessive' data collection in the personnel selection process, during which also health data were requested.",https://www.handelsblatt.com/politik/deutschland/dsgvo-datenschutz-verstoesse-zahl-der-bussgelder-ist-drastisch-gestiegen/25364576.html?ticket=ST-45092061-7c0aydLKNr5gZlxMtwwK-ap1
GERMANY,Data Protection Authority of Hamburg,12/31/19,Yes,20000,Hamburger Verkehrsverbund GmbH (HVV GmbH),"Art. 33 GDPR, Art. 34 GDPR",Insufficient fulfilment of data breach notification obligations,"On July 6, 2018, HVV GmbH was informed by a customer about a security gap on the website www.hvv.de, which was caused by an update on February 5, 2018 and concerned the so-called Customer E-Service (CES). The security gap consisted in the fact that customers logged in to the CES who had an HVV Card and linked their CES customer account to at least one active contractual relationship in background systems could, by changing the URL, display data of other customers who had an HVV Card. This data breach was not reported to the data protection authority in a timely manner.",https://datenschutz-hamburg.de/assets/pdf/28._Taetigkeitsbericht_Datenschutz_2019_HmbBfDI.pdf
